"variable" "activity" "subjectid" "average"
"1" "frequencyaccelerationjerkmeanX" "laying" "1" -0.9570738838
"2" "frequencyaccelerationjerkmeanX" "laying" "2" -0.985813630833333
"3" "frequencyaccelerationjerkmeanX" "laying" "3" -0.980513202258064
"4" "frequencyaccelerationjerkmeanX" "laying" "4" -0.978542457407407
"5" "frequencyaccelerationjerkmeanX" "laying" "5" -0.982689657115385
"6" "frequencyaccelerationjerkmeanX" "laying" "6" -0.967072436842105
"7" "frequencyaccelerationjerkmeanX" "laying" "7" -0.980393046923077
"8" "frequencyaccelerationjerkmeanX" "laying" "8" -0.973110596111111
"9" "frequencyaccelerationjerkmeanX" "laying" "9" -0.964304065
"10" "frequencyaccelerationjerkmeanX" "laying" "10" -0.979014668793104
"11" "frequencyaccelerationjerkmeanX" "laying" "11" -0.984884874385965
"12" "frequencyaccelerationjerkmeanX" "laying" "12" -0.968742758833333
"13" "frequencyaccelerationjerkmeanX" "laying" "13" -0.985199684354839
"14" "frequencyaccelerationjerkmeanX" "laying" "14" -0.972010709215686
"15" "frequencyaccelerationjerkmeanX" "laying" "15" -0.981329999027778
"16" "frequencyaccelerationjerkmeanX" "laying" "16" -0.988580046285714
"17" "frequencyaccelerationjerkmeanX" "laying" "17" -0.98147206915493
"18" "frequencyaccelerationjerkmeanX" "laying" "18" -0.986404709384615
"19" "frequencyaccelerationjerkmeanX" "laying" "19" -0.983478561807229
"20" "frequencyaccelerationjerkmeanX" "laying" "20" -0.983889985147059
"21" "frequencyaccelerationjerkmeanX" "laying" "21" -0.984188841222222
"22" "frequencyaccelerationjerkmeanX" "laying" "22" -0.969570326944444
"23" "frequencyaccelerationjerkmeanX" "laying" "23" -0.986204659166667
"24" "frequencyaccelerationjerkmeanX" "laying" "24" -0.985998546805556
"25" "frequencyaccelerationjerkmeanX" "laying" "25" -0.972859085753425
"26" "frequencyaccelerationjerkmeanX" "laying" "26" -0.989224043947368
"27" "frequencyaccelerationjerkmeanX" "laying" "27" -0.986679572567568
"28" "frequencyaccelerationjerkmeanX" "laying" "28" -0.980013419
"29" "frequencyaccelerationjerkmeanX" "laying" "29" -0.992153982028986
"30" "frequencyaccelerationjerkmeanX" "laying" "30" -0.976887901571429
"31" "frequencyaccelerationjerkmeanX" "sitting" "1" -0.986597022553191
"32" "frequencyaccelerationjerkmeanX" "sitting" "2" -0.987848793695652
"33" "frequencyaccelerationjerkmeanX" "sitting" "3" -0.974950363461538
"34" "frequencyaccelerationjerkmeanX" "sitting" "4" -0.9768457126
"35" "frequencyaccelerationjerkmeanX" "sitting" "5" -0.976024951136364
"36" "frequencyaccelerationjerkmeanX" "sitting" "6" -0.971037479818182
"37" "frequencyaccelerationjerkmeanX" "sitting" "7" -0.982037243958333
"38" "frequencyaccelerationjerkmeanX" "sitting" "8" -0.984977270652174
"39" "frequencyaccelerationjerkmeanX" "sitting" "9" -0.9655962396
"40" "frequencyaccelerationjerkmeanX" "sitting" "10" -0.989365013888889
"41" "frequencyaccelerationjerkmeanX" "sitting" "11" -0.980831750377358
"42" "frequencyaccelerationjerkmeanX" "sitting" "12" -0.977109887058824
"43" "frequencyaccelerationjerkmeanX" "sitting" "13" -0.992678212653061
"44" "frequencyaccelerationjerkmeanX" "sitting" "14" -0.981566649444444
"45" "frequencyaccelerationjerkmeanX" "sitting" "15" -0.988106102033898
"46" "frequencyaccelerationjerkmeanX" "sitting" "16" -0.990964251304348
"47" "frequencyaccelerationjerkmeanX" "sitting" "17" -0.99454262109375
"48" "frequencyaccelerationjerkmeanX" "sitting" "18" -0.991924709824561
"49" "frequencyaccelerationjerkmeanX" "sitting" "19" -0.986775590136986
"50" "frequencyaccelerationjerkmeanX" "sitting" "20" -0.982243603030303
"51" "frequencyaccelerationjerkmeanX" "sitting" "21" -0.989759187058823
"52" "frequencyaccelerationjerkmeanX" "sitting" "22" -0.980944505967742
"53" "frequencyaccelerationjerkmeanX" "sitting" "23" -0.984550863529412
"54" "frequencyaccelerationjerkmeanX" "sitting" "24" -0.988857403235294
"55" "frequencyaccelerationjerkmeanX" "sitting" "25" -0.992478846153846
"56" "frequencyaccelerationjerkmeanX" "sitting" "26" -0.992025427435897
"57" "frequencyaccelerationjerkmeanX" "sitting" "27" -0.990839607428571
"58" "frequencyaccelerationjerkmeanX" "sitting" "28" -0.976891804583333
"59" "frequencyaccelerationjerkmeanX" "sitting" "29" -0.993445760166667
"60" "frequencyaccelerationjerkmeanX" "sitting" "30" -0.988775436451613
"61" "frequencyaccelerationjerkmeanX" "standing" "1" -0.994630797358491
"62" "frequencyaccelerationjerkmeanX" "standing" "2" -0.980973241666667
"63" "frequencyaccelerationjerkmeanX" "standing" "3" -0.957666856721311
"64" "frequencyaccelerationjerkmeanX" "standing" "4" -0.972310894285714
"65" "frequencyaccelerationjerkmeanX" "standing" "5" -0.963059235178571
"66" "frequencyaccelerationjerkmeanX" "standing" "6" -0.97348053877193
"67" "frequencyaccelerationjerkmeanX" "standing" "7" -0.976323086226415
"68" "frequencyaccelerationjerkmeanX" "standing" "8" -0.989029238518519
"69" "frequencyaccelerationjerkmeanX" "standing" "9" -0.971313768666667
"70" "frequencyaccelerationjerkmeanX" "standing" "10" -0.963565166136364
"71" "frequencyaccelerationjerkmeanX" "standing" "11" -0.992385450851064
"72" "frequencyaccelerationjerkmeanX" "standing" "12" -0.971971634098361
"73" "frequencyaccelerationjerkmeanX" "standing" "13" -0.988198276666667
"74" "frequencyaccelerationjerkmeanX" "standing" "14" -0.97818164
"75" "frequencyaccelerationjerkmeanX" "standing" "15" -0.985353492641509
"76" "frequencyaccelerationjerkmeanX" "standing" "16" -0.991038638974359
"77" "frequencyaccelerationjerkmeanX" "standing" "17" -0.992129225769231
"78" "frequencyaccelerationjerkmeanX" "standing" "18" -0.989544971232877
"79" "frequencyaccelerationjerkmeanX" "standing" "19" -0.985039596164384
